"","thomas_num","thomas_name","icpsr","congress","year","st_name","cd","dem","majority","elected","female","afam","latino","votepct","votepct_sq","dwnom1","meddist","majdist","deleg_size","speaker","chair","subchr","power","budget","seniority","sensq","state_leg","state_leg_prof","maj_leader","min_leader","south","south_dem","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","all_bills","all_aic","all_abc","all_pass","all_law","les","leslag"
"11","10","Andrews, Mark","10569","93","1973","ND","1","0","0","1963","0","0","0","73","5329","0.105999999","0.152999997","0.425500005","1","0","0","0","1","0","6","36","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","3","0","0","0","0","23","0","0","0","0","0.106469221",""
"12","11","Annunzio, Frank","10703","93","1973","IL","11","1","1","1964","0","0","0","53","2809","-0.402999997","0.356000006","0.083499998","24","0","0","1","0","0","5","25","0","0","0","0","0","0","0","0","0","0","0","46","1","1","1","0","7","1","1","1","1","53","2","2","2","1","0.627664626",""
"13","12","Archer, Bill","13002","93","1973","TX","7","0","0","1970","0","0","0","82","6724","0.463999987","0.510999978","0.783500016","24","0","0","0","1","0","2","4","1","0.191","0","0","1","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0.180894315",""
"14","13","Arends, Leslie","226","93","1973","IL","15","0","0","1934","0","0","0","57","3249","0.296000004","0.342999995","0.615500033","24","0","0","0","0","0","20","400","","","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0.015505226",""
"15","14","Armstrong, William","14002","93","1973","CO","5","0","0","1972","0","0","0","62","3844","0.441000015","0.488000005","0.760500014","5","0","0","0","0","0","1","1","1","0.284000009","0","0","0","0","0","0","0","0","0","8","0","0","0","0","3","1","1","1","1","11","1","1","1","1","0.137053624",""
"16","15","Ashbrook, John","10502","93","1973","OH","17","0","0","1960","0","0","0","57","3249","0.601000011","0.648000002","0.92050004","23","0","0","0","0","0","7","49","1","0.354999989","0","0","0","0","0","0","0","0","0","33","0","0","0","0","1","0","0","0","0","34","0","0","0","0","0.171591178",""
"17","16","Ashley, Thomas","267","93","1973","OH","9","1","1","1954","0","0","0","69","4761","-0.328999996","0.282000005","0.009499996","23","0","0","1","0","1","10","100","0","0","0","0","0","0","5","5","5","5","2","23","0","0","0","0","0","0","0","0","0","28","5","5","5","2","3.763123989",""
"18","17","Aspin, Les","13003","93","1973","WI","1","1","1","1970","0","0","0","64","4096","-0.381999999","0.335000008","0.0625","9","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","91","0","0","0","0","2","0","0","0","0","93","0","0","0","0","0.472392559",""
"19","18","Badillo, Herman","13004","93","1973","NY","21","1","1","1970","0","0","1","87","7569","-0.619000018","0.572000027","0.299500018","39","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","1","0","0","0","0","42","0","0","0","0","0.212938443",""
"20","19","Bafalis, L.","14003","93","1973","FL","10","0","0","1972","0","0","0","62","3844","0.293000013","0.340000004","0.612500012","15","0","0","0","0","0","1","1","1","0.224000007","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0.051684089",""
"21","20","Baker, LaMar","13005","93","1973","TN","3","0","0","1970","0","0","0","55","3025","0.338999987","0.385999978","0.658500016","8","0","0","0","0","0","2","4","1","0.149000004","0","0","1","0","0","0","0","0","0","32","2","2","1","1","3","0","0","0","0","35","2","2","1","1","0.818845809",""
"22","21","Barrett, William","465","93","1973","PA","1","1","1","1948","0","0","0","66","4356","-0.476999998","0.430000007","0.157499999","25","0","0","1","0","0","13","169","0","0","0","0","0","0","3","2","2","2","1","22","0","0","0","0","3","0","0","0","0","28","2","2","2","1","1.654023051",""
"23","22","Bauman, Robert","14069","93","1973","MD","1","0","0","1973","0","0","0","","","0.500999987","0.547999978","0.820500016","8","0","0","0","0","0","1","1","1","0.252000004","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0.062020905",""
"24","23","Beard, Robin","14004","93","1973","TN","6","0","0","1972","0","0","0","55","3025","0.397000015","0.444000006","0.716500044","8","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","9","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0.04754936",""
"25","24","Bell, Alphonzo","10505","93","1973","CA","28","0","0","1960","0","0","0","61","3721","0.180999994","0.228","0.500500023","43","0","0","0","0","0","7","49","0","0","0","0","0","0","1","0","0","0","0","35","0","0","0","0","4","1","1","0","0","40","1","1","0","0","0.232831672",""
"26","25","Benitez, Jamie","","93","1973","PR","1","","0","","0","0","1","","","","","","1","0","0","0","0","0","","","0","","0","0","0","0","0","0","0","0","0","11","0","0","0","0","1","0","0","0","0","12","0","0","0","0","0.05788618",""
"27","26","Bennett, Charles","633","93","1973","FL","3","1","1","1948","0","0","0","82","6724","-0.061000001","0.014","0.25850001","15","0","0","1","0","0","13","169","1","0.224000007","0","0","1","1","0","0","0","0","0","86","1","1","0","0","2","1","1","1","1","88","2","2","1","1","0.726484895",""
"28","27","Bergland, Bob","13007","93","1973","MN","7","1","1","1970","0","0","0","59","3481","-0.358999997","0.312000006","0.039499998","8","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","1","0","0","0","0","25","0","0","0","0","0.125075489",""
"29","28","Bevill, Tom","11000","93","1973","AL","4","1","1","1966","0","0","0","70","4900","-0.123999998","0.077","0.195500001","7","0","0","0","1","0","4","16","1","0.085000001","0","0","1","1","0","0","0","0","0","16","0","0","0","0","1","1","1","1","1","17","1","1","1","1","0.176333532",""
"30","29","Biaggi, Mario","12003","93","1973","NY","10","1","1","1968","0","0","0","94","8836","-0.31099999","0.263999999","0.008500011","39","0","0","0","0","0","3","9","0","0","0","0","0","0","0","0","0","0","0","156","0","0","0","0","5","1","1","1","1","161","1","1","1","1","0.904045522",""
"31","30","Biester, Edward","11001","93","1973","PA","8","0","0","1966","0","0","0","64","4096","-0.028999999","0.018000001","0.290500015","25","0","0","0","0","0","4","16","0","0","0","0","0","0","1","0","0","0","0","20","0","0","0","0","1","0","0","0","0","22","0","0","0","0","0.114738673",""
"32","31","Bingham, Jonathan","10705","93","1973","NY","22","1","1","1964","0","0","0","76","5776","-0.537","0.49000001","0.217500001","39","0","0","0","0","0","5","25","0","0","0","0","0","0","0","0","0","0","0","108","0","0","0","0","5","0","0","0","0","113","0","0","0","0","0.563356578",""
"33","32","Blackburn, Ben","11002","93","1973","GA","4","0","0","1966","0","0","0","76","5776","0.405999988","0.452999979","0.725499988","10","0","0","0","0","0","4","16","0","0","0","0","1","0","0","0","0","0","0","28","0","0","0","0","3","2","2","2","2","31","2","2","2","2","0.333027124",""
"34","33","Blatnik, John","789","93","1973","MN","8","1","1","1947","0","0","0","76","5776","-0.40200001","0.355000019","0.082500011","8","0","1","0","0","0","14","196","1","0.210999995","0","0","0","0","5","5","5","5","3","56","2","2","2","1","1","0","0","0","0","62","7","7","7","4","5.033718109",""
"35","34","Boggs, Corinne","14067","93","1973","LA","2","1","1","1973","1","0","0","","","-0.287","0.239999995","0.032499999","8","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","8","0","0","0","0","4","1","1","1","1","12","1","1","1","1","0.138087317",""
"36","35","Boland, Edward","830","93","1973","MA","2","1","1","1952","0","0","0","100","10000","-0.312999994","0.266000003","0.006500007","12","0","0","1","1","0","11","121","1","0.386000007","0","0","0","0","2","2","2","2","2","33","0","0","0","0","4","0","0","0","0","39","2","2","2","2","2.047472239",""
"37","36","Bolling, Richard","835","93","1973","MO","5","1","1","1948","0","0","0","63","3969","-0.490999997","0.444000006","0.171499997","10","0","0","0","1","1","13","169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"38","37","Bowen, David","14005","93","1973","MS","2","1","1","1972","0","0","0","62","3844","-0.015","0.032000002","0.304500014","5","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","24","1","1","1","1","1","0","0","0","0","25","1","1","1","1","0.588102043",""
"39","38","Brademas, John","948","93","1973","IN","3","1","1","1958","0","0","0","55","3025","-0.470999986","0.423999995","0.151499987","11","0","0","1","0","0","8","64","0","0","1","0","0","0","8","7","8","7","3","49","0","0","0","0","2","0","0","0","0","59","7","8","7","3","5.620785236",""
"40","39","Brasco, Frank","11004","93","1973","NY","11","1","1","1966","0","0","0","64","4096","-0.439999998","0.393000007","0.120499998","39","0","0","0","0","0","4","16","0","0","0","0","0","0","0","0","0","0","0","15","1","1","1","1","7","1","1","0","0","22","2","2","1","1","0.585254312",""
"41","40","Bray, William","986","93","1973","IN","6","0","0","1950","0","0","0","65","4225","0.333999991","0.380999982","0.653500021","11","0","0","0","0","0","12","144","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0.031010453",""
"42","41","Breaux, John","13056","93","1973","LA","7","1","1","1972","0","0","0","100","10000","-0.086000003","0.039000005","0.233500004","8","0","0","0","0","0","1","1","0","0","0","0","1","1","1","1","1","1","1","44","0","0","0","0","0","0","0","0","0","45","1","1","1","1","1.163800001",""
"43","42","Breckinridge, John","14006","93","1973","KY","6","1","1","1972","0","0","0","52","2704","-0.200000003","0.152999997","0.119499996","7","0","0","0","0","0","1","1","1","0.078000002","0","0","1","1","0","0","0","0","0","4","1","1","1","1","0","0","0","0","0","4","1","1","1","1","0.483700216",""
"44","43","Brinkley, Jack","11005","93","1973","GA","3","1","1","1966","0","0","0","100","10000","-0.013","0.033999998","0.306499988","10","0","0","0","0","0","4","16","1","0.142000005","0","0","1","1","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","42","0","0","0","0","0.217073172",""
"45","44","Brooks, Jack","1077","93","1973","TX","9","1","1","1952","0","0","0","66","4356","-0.354000002","0.307000011","0.034500003","24","0","0","1","0","0","11","121","1","0.191","0","0","1","1","3","3","3","3","0","12","2","2","2","1","0","0","0","0","0","15","5","5","5","1","2.58659482",""
"46","45","Broomfield, William","1087","93","1973","MI","19","0","0","1956","0","0","0","70","4900","0.202000007","0.249000013","0.521499991","19","0","0","0","0","0","9","81","1","0.463","0","0","0","0","0","0","0","0","0","40","0","0","0","0","3","0","0","0","0","43","0","0","0","0","0.209837392",""
"47","46","Brotzman, Donald","10572","93","1973","CO","2","0","0","1962","0","0","0","66","4356","0.131999999","0.179000005","0.451499999","5","0","0","0","1","0","6","36","1","0.284000009","0","0","0","0","2","1","1","0","0","59","0","0","0","0","4","1","1","1","1","65","2","2","1","1","0.797007978",""
"48","47","Brown, Clarence","10786","93","1973","OH","7","0","0","1965","0","0","0","73","5329","0.282999992","0.329999983","0.602500021","23","0","0","0","0","0","5","25","0","0","0","0","0","0","2","1","1","0","0","23","1","1","1","1","1","0","0","0","0","26","2","2","1","1","0.978265464",""
"49","48","Brown, Gary","11006","93","1973","MI","3","0","0","1966","0","0","0","59","3481","0.25999999","0.306999981","0.57950002","19","0","0","0","0","0","4","16","1","0.463","0","0","0","0","0","0","0","0","0","17","0","0","0","0","2","0","0","0","0","19","0","0","0","0","0.089930311",""
"50","49","Brown, George","10573","93","1973","CA","38","1","1","1972","0","0","0","56","3136","-0.532999992","0.486000001","0.213499993","43","0","0","0","0","0","1","1","1","0.526000023","0","0","0","0","0","0","0","0","0","47","0","0","0","0","3","1","1","1","1","50","1","1","1","1","0.338621587",""
"51","50","Broyhill, James","10574","93","1973","NC","10","0","0","1962","0","0","0","73","5329","0.261000007","0.307999998","0.580500007","11","0","0","0","0","1","6","36","0","0","0","0","1","0","1","0","0","0","0","34","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0.186062723",""
"52","51","Broyhill, Joel","1154","93","1973","VA","10","0","0","1952","0","0","0","56","3136","0.211999997","0.259000003","0.531499982","10","0","0","0","1","1","11","121","0","0","0","0","1","0","2","2","2","2","0","109","1","1","1","1","38","3","3","3","0","149","6","6","6","1","2.420689583",""
"53","52","Buchanan, John","10706","93","1973","AL","6","0","0","1964","0","0","0","60","3600","0.128000006","0.175000012","0.44750002","7","0","0","0","0","0","5","25","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0.031010453",""
"54","53","Burgener, Clair","14007","93","1973","CA","42","0","0","1972","0","0","0","68","4624","0.247999996","0.294999987","0.567499995","43","0","0","0","0","0","1","1","1","0.526000023","0","0","0","0","0","0","0","0","0","8","0","0","0","0","3","1","1","1","1","11","1","1","1","1","0.137053624",""
"55","54","Burke, Yvonne","14008","93","1973","CA","37","1","1","1972","1","1","0","73","5329","-0.589999974","0.542999983","0.270499974","43","0","0","0","0","0","1","1","1","0.526000023","0","0","0","0","0","0","0","0","0","17","0","0","0","0","2","1","1","0","0","19","1","1","0","0","0.127396137",""
"56","55","Burke, James","1265","93","1973","MA","11","1","1","1958","0","0","0","100","10000","-0.389999986","0.342999995","0.070499986","12","0","0","0","1","1","8","64","0","0","0","0","0","0","1","1","1","0","0","77","0","0","0","0","6","0","0","0","0","84","1","1","0","0","0.789164543",""
"57","56","Burke, J.","11007","93","1973","FL","12","0","0","1966","0","0","0","63","3969","0.224000007","0.270999998","0.543500006","15","0","0","0","0","0","4","16","0","0","0","0","1","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","62","0","0","0","0","0.320441335",""
"58","57","Burleson, Omar","1282","93","1973","TX","17","1","1","1946","0","0","0","100","10000","0.180999994","0.228","0.500500023","24","0","0","0","1","0","14","196","0","0","0","0","1","1","1","0","0","0","0","23","0","0","0","0","1","0","0","0","0","25","0","0","0","0","0.130243897",""
"59","58","Burlison, Bill","12004","93","1973","MO","10","1","1","1968","0","0","0","64","4096","-0.372999996","0.326000005","0.053499997","10","0","0","0","1","0","3","9","0","0","0","0","0","0","0","0","0","0","0","11","1","1","1","1","1","1","1","1","1","12","2","2","2","2","0.613518059",""
"60","59","Burton, John","14076","93","1973","CA","6","1","1","1974","0","0","0","","","-0.538999975","0.491999984","0.219499975","43","0","0","0","0","0","1","1","1","0.526000023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","8","0","0","0","0","0.008269454",""
"61","60","Burton, Phillip","10577","93","1973","CA","5","1","1","1964","0","0","0","82","6724","-0.657999992","0.611000001","0.338499993","43","0","0","1","0","0","5","25","1","0.526000023","0","0","0","0","1","1","1","1","0","44","2","2","2","2","49","7","7","5","5","94","10","10","8","7","2.33256197",""
"62","61","Butler, M.","13055","93","1973","VA","6","0","0","1972","0","0","0","55","3025","0.272000015","0.319000006","0.591500044","10","0","0","0","0","0","1","1","1","0.164000005","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0.0113705",""
"63","62","Byron, Goodloe","13008","93","1973","MD","6","1","1","1970","0","0","0","65","4225","0.02","0.067000002","0.33950001","8","0","0","0","0","0","2","4","1","0.252000004","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0.124041811",""
"64","63","Camp, John","12006","93","1973","OK","6","0","0","1968","0","0","0","73","5329","0.432999998","0.479999989","0.752499998","6","0","0","0","0","0","3","9","1","0.248999998","0","0","1","0","0","0","0","0","0","16","1","1","1","0","3","1","1","1","1","19","2","2","2","1","0.468477607",""
"65","64","Carey, Hugh","10508","93","1973","NY","15","1","1","1960","0","0","0","52","2704","-0.39199999","0.344999999","0.07249999","39","0","0","0","1","0","7","49","0","0","0","0","0","0","2","1","1","1","1","56","0","0","0","0","9","0","0","0","0","67","1","1","1","1","1.245460868",""
"66","65","Carney, Charles","12044","93","1973","OH","19","1","1","1970","0","0","0","64","4096","-0.446999997","0.400000006","0.127499998","23","0","0","1","0","0","2","4","1","0.354999989","0","0","0","0","1","1","1","1","1","56","1","1","1","1","1","1","1","1","1","58","3","3","3","3","1.782486439",""
"67","66","Carter, Tim","10710","93","1973","KY","5","0","0","1964","0","0","0","74","5476","0.086999997","0.134000003","0.406500012","7","0","0","0","0","0","5","25","0","0","0","0","1","0","0","0","0","0","0","41","0","0","0","0","1","1","1","1","1","42","1","1","1","1","0.305543751",""
"68","67","Casey, Bob","1577","93","1973","TX","22","1","1","1958","0","0","0","70","4900","-0.052999999","0.006","0.266499996","24","0","0","1","1","0","8","64","1","0.191","0","0","1","1","2","2","2","2","2","19","0","0","0","0","1","0","0","0","0","22","2","2","2","2","1.972013354",""
"69","68","Cederberg, Elford","1610","93","1973","MI","10","0","0","1952","0","0","0","67","4489","0.211999997","0.259000003","0.531499982","19","0","0","0","1","1","11","121","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","2","1","1","1","1","18","1","1","1","1","0.177367225",""
"70","69","Chamberlain, Charles","1620","93","1973","MI","6","0","0","1956","0","0","0","51","2601","0.270999998","0.317999989","0.590499997","19","0","0","0","1","0","9","81","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0.087862954",""
"71","70","Chappell, Bill","12007","93","1973","FL","4","1","1","1968","0","0","0","56","3136","0.002","0.048999999","0.321500003","15","0","0","0","1","0","3","9","1","0.224000007","0","0","1","1","1","1","1","1","1","42","2","2","2","2","4","0","0","0","0","47","3","3","3","3","2.083651066",""
"72","71","Chisholm, Shirley","12008","93","1973","NY","12","1","1","1968","1","1","0","88","7744","-0.643999994","0.597000003","0.324499995","39","0","0","0","0","0","3","9","1","0.407000005","0","0","0","0","0","0","0","0","0","2","0","0","0","0","9","0","0","0","0","11","0","0","0","0","0.019639954",""
"73","72","Clancy, Donald","10510","93","1973","OH","2","0","0","1960","0","0","0","63","3969","0.393999994","0.440999985","0.713500023","23","0","0","0","1","0","7","49","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0.160220668",""
"74","73","Clark, Frank","1763","93","1973","PA","25","1","1","1954","0","0","0","56","3136","-0.301999986","0.254999995","0.017500013","25","0","0","1","0","0","10","100","0","0","0","0","0","0","0","0","0","0","0","48","1","1","1","1","0","0","0","0","0","48","1","1","1","1","0.711110175",""
"75","74","Clausen, Don","10579","93","1973","CA","1","0","0","1963","0","0","0","62","3844","0.157000005","0.204000011","0.476500005","43","0","0","0","0","0","6","36","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","3","0","0","0","0","37","0","0","0","0","0.178826943",""
"76","75","Clawson, Del","10580","93","1973","CA","23","0","0","1963","0","0","0","61","3721","0.522000015","0.569000006","0.841500044","43","0","0","0","1","1","6","36","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","2","1","1","1","1","11","1","1","1","1","0.141188353",""
"77","76","Clay, William","12009","93","1973","MO","1","1","1","1968","0","1","0","64","4096","-0.584999979","0.537999988","0.265499979","10","0","0","0","0","0","3","9","0","0","0","0","0","0","0","0","0","0","0","5","1","1","1","1","1","0","0","0","0","6","1","1","1","1","0.489902288",""
"78","77","Cleveland, James","10581","93","1973","NH","2","0","0","1962","0","0","0","68","4624","0.201000005","0.248000011","0.520500004","2","0","0","0","0","0","6","36","1","0.061999999","0","0","0","0","0","0","0","0","0","27","0","0","0","0","2","1","1","1","1","29","1","1","1","1","0.234219715",""
"79","78","Cochran, Thad","14009","93","1973","MS","4","0","0","1972","0","0","0","48","2304","0.203999996","0.250999987","0.523500025","5","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","20","0","0","0","0","1","0","0","0","0","21","0","0","0","0","0.104401857",""
"80","79","Cohen, William","14010","93","1973","ME","2","0","0","1972","0","0","0","54","2916","0.068999998","0.115999997","0.388500005","2","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","48","0","0","0","0","1","0","0","0","0","50","0","0","0","0","0.259454131",""
"81","80","Collier, Harold","1941","93","1973","IL","6","0","0","1956","0","0","0","61","3721","0.36500001","0.412","0.684500039","24","0","0","0","1","0","9","81","0","0","0","0","0","0","0","0","0","0","0","51","0","0","0","0","3","0","0","0","0","54","0","0","0","0","0.266689897",""
"82","81","Collins, Cardiss","14068","93","1973","IL","7","1","1","1973","1","1","0","","","-0.497000009","0.450000018","0.17750001","24","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0.056852497",""
"83","82","Collins, James","11066","93","1973","TX","3","0","0","1968","0","0","0","73","5329","0.657000005","0.703999996","0.976500034","24","0","0","0","0","0","3","9","0","0","0","0","1","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0.082694538",""
"84","83","Conable, Barber","10712","93","1973","NY","35","0","0","1964","0","0","0","68","4624","0.323000014","0.370000005","0.642500043","39","0","0","0","1","0","5","25","1","0.407000005","0","0","0","0","0","0","0","0","0","34","0","0","0","0","1","0","0","0","0","35","0","0","0","0","0.176759586",""
"85","84","Conlan, John","14011","93","1973","AZ","4","0","0","1972","0","0","0","53","2809","0.532999992","0.579999983","0.852500021","4","0","0","0","0","0","1","1","1","0.268999994","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0.025842045",""
"86","85","Conte, Silvio","2009","93","1973","MA","1","0","0","1958","0","0","0","100","10000","-0.048999999","0.001999999","0.270500004","12","0","0","0","1","0","8","64","1","0.386000007","0","0","0","0","1","1","1","1","1","70","0","0","0","0","7","2","2","2","1","78","3","3","3","2","1.456035018",""
"87","86","Conyers, John","10713","93","1973","MI","1","1","1","1964","0","1","0","88","7744","-0.762000024","0.715000033","0.442500025","19","0","0","1","0","0","5","25","0","0","0","0","0","0","1","1","1","1","0","27","0","0","0","0","0","0","0","0","0","28","1","1","1","0","0.730037272",""
"88","87","Corman, James","10511","93","1973","CA","22","1","1","1960","0","0","0","68","4624","-0.536000013","0.489000022","0.216500014","43","0","0","1","1","0","7","49","0","0","0","0","0","0","1","1","1","1","1","56","0","0","0","0","6","0","0","0","0","63","1","1","1","1","1.232023001",""
"89","88","Cotter, William","13009","93","1973","CT","1","1","1","1970","0","0","0","57","3249","-0.298999995","0.252000004","0.020500004","6","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","2","0","0","0","0","10","0","0","0","0","0.043414634",""
"90","89","Coughlin, Lawrence","12010","93","1973","PA","13","0","0","1968","0","0","0","67","4489","0.163000003","0.210000008","0.482500017","25","0","0","0","1","0","3","9","1","0.344999999","0","0","0","0","0","0","0","0","0","20","0","0","0","0","3","0","0","0","0","23","0","0","0","0","0.106469221",""
"91","90","Crane, Philip","12041","93","1973","IL","12","0","0","1969","0","0","0","74","5476","0.739000022","0.786000013","1.058500051","24","0","0","0","0","0","3","9","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","1","0","0","0","0","33","0","0","0","0","0.166422769",""
"92","91","Cronin, Paul","14012","93","1973","MA","5","0","0","1972","0","0","0","45","2025","-0.015","0.032000002","0.304500014","12","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","55","1","1","1","1","4","1","1","1","1","59","2","2","2","2","0.844029129",""
"93","92","Culver, John","10715","93","1973","IA","2","1","1","1964","0","0","0","59","3481","-0.305999994","0.259000003","0.013500006","6","0","0","1","0","0","5","25","0","0","0","0","0","0","1","1","1","1","0","27","1","1","1","0","1","0","0","0","0","29","2","2","2","0","1.021147728",""
